spec,N,beta_photopes_lag3,t_photopes_lag3,p_photopes_lag3,trail_cols,beta_trail_last,t_trail_last,trail_detail,adj_r2
(1) Headline,2978,-0.0012533958760375715,-2.816751503694462,0.004851204391838594,,,,,0.00869419198829735
(2) +trail 5d,2975,-0.0012671605581513342,-2.8483929139189184,0.0043940638218253,trail_cum_5d,-0.002191491936699352,-0.13053275163621675,"[('trail_cum_5d', np.float64(-0.00219), np.float64(-0.131))]",0.00833269452931995
(3) +trail 10d,2970,-0.0012692568348405128,-2.8485300498339825,0.004392170534278282,trail_cum_10d,0.006833145242659454,0.8107687967618019,"[('trail_cum_10d', np.float64(0.00683), np.float64(0.811))]",0.008604569167844245
(4) +trail 20d,2960,-0.0012509205777869418,-2.8041527066228142,0.0050449004795482715,trail_cum_20d,0.008707102714208914,1.6697780189482072,"[('trail_cum_20d', np.float64(0.00871), np.float64(1.67))]",0.009837883130835223
(5) +trail 60d,2920,-0.001232969335990663,-2.6977530811177948,0.006980919895908781,trail_cum_60d,-0.0002714039556997737,-0.08653850019369902,"[('trail_cum_60d', np.float64(-0.00027), np.float64(-0.087))]",0.007945050239544282
(6) +ALL trail,2920,-0.0012294571400946262,-2.691835639246724,0.007105995574116659,trail_cum_5d+trail_cum_10d+trail_cum_20d+trail_cum_60d,-0.00406697275915541,-1.124436576844163,"[('trail_cum_5d', np.float64(-0.0146), np.float64(-0.672)), ('trail_cum_10d', np.float64(-0.00121), np.float64(-0.085)), ('trail_cum_20d', np.float64(0.01534), np.float64(1.901)), ('trail_cum_60d', np.float64(-0.00407), np.float64(-1.124))]",0.00970727736693111
