threshold_pctile,threshold_vol20_value,index,predictor,coef,tstat,pval,N_highvol
60,0.009684,SHCOMP,PhotoPes_std_lag5,0.000217,0.335,0.7379,1185
60,0.009684,SHCOMP,TextPes_std_lag1,-0.000867,-1.333,0.1827,1185
60,0.009684,SHCOMP,TextPes_std_lag2,-0.000392,-0.662,0.5078,1185
60,0.009684,SHCOMP,TextPes_std_lag3,-0.000532,-0.819,0.4128,1185
60,0.009684,SHCOMP,TextPes_std_lag4,0.000421,0.621,0.5347,1185
60,0.009684,SHCOMP,TextPes_std_lag5,0.001225,1.631,0.1029,1185
60,0.009684,SZCOMP,PhotoPes_std_lag1,0.000814,0.906,0.365,1185
60,0.009684,SZCOMP,PhotoPes_std_lag2,0.000818,1.147,0.2515,1185
60,0.009684,SZCOMP,PhotoPes_std_lag3,-0.001538,-1.808,0.0706,1185
60,0.009684,SZCOMP,PhotoPes_std_lag4,-0.001444,-1.777,0.0756,1185
60,0.009684,SZCOMP,PhotoPes_std_lag5,0.000915,1.181,0.2375,1185
60,0.009684,SZCOMP,TextPes_std_lag1,-0.001127,-1.464,0.1433,1185
60,0.009684,SZCOMP,TextPes_std_lag2,-0.000528,-0.723,0.4698,1185
60,0.009684,SZCOMP,TextPes_std_lag3,-0.000686,-0.98,0.3273,1185
60,0.009684,SZCOMP,TextPes_std_lag4,0.000318,0.378,0.7057,1185
60,0.009684,SZCOMP,TextPes_std_lag5,0.000926,1.072,0.2839,1185
60,0.009684,ChiNext,PhotoPes_std_lag1,0.000815,0.686,0.4925,1185
60,0.009684,ChiNext,PhotoPes_std_lag2,0.001012,1.125,0.2605,1185
60,0.009684,ChiNext,PhotoPes_std_lag3,-0.002628,-2.724,0.0064,1185
60,0.009684,ChiNext,PhotoPes_std_lag4,-0.001191,-1.279,0.201,1185
60,0.009684,ChiNext,PhotoPes_std_lag5,0.001593,1.664,0.0962,1185
60,0.009684,ChiNext,TextPes_std_lag1,-0.001066,-1.157,0.2473,1185
60,0.009684,ChiNext,TextPes_std_lag2,-0.001114,-1.277,0.2017,1185
60,0.009684,ChiNext,TextPes_std_lag3,-0.000783,-0.947,0.3435,1185
60,0.009684,ChiNext,TextPes_std_lag4,0.000502,0.49,0.6239,1185
60,0.009684,ChiNext,TextPes_std_lag5,0.001061,1.042,0.2974,1185
60,0.009684,CSI500,PhotoPes_std_lag1,0.000642,0.72,0.4716,1185
60,0.009684,CSI500,PhotoPes_std_lag2,0.000818,1.152,0.2495,1185
60,0.009684,CSI500,PhotoPes_std_lag3,-0.001568,-1.778,0.0753,1185
60,0.009684,CSI500,PhotoPes_std_lag4,-0.001395,-1.683,0.0924,1185
60,0.009684,CSI500,PhotoPes_std_lag5,0.000902,1.119,0.2632,1185
60,0.009684,CSI500,TextPes_std_lag1,-0.001212,-1.512,0.1306,1185
60,0.009684,CSI500,TextPes_std_lag2,-0.000211,-0.288,0.7736,1185
60,0.009684,CSI500,TextPes_std_lag3,-0.000658,-0.926,0.3546,1185
60,0.009684,CSI500,TextPes_std_lag4,0.000155,0.187,0.8513,1185
60,0.009684,CSI500,TextPes_std_lag5,0.000756,0.858,0.3908,1185
70,0.011081,CSI300,PhotoPes_std_lag1,0.000336,0.338,0.7351,889
70,0.011081,CSI300,PhotoPes_std_lag2,0.000405,0.551,0.5817,889
70,0.011081,CSI300,PhotoPes_std_lag3,-0.001728,-1.746,0.0809,889
70,0.011081,CSI300,PhotoPes_std_lag4,-0.000922,-1.023,0.3061,889
70,0.011081,CSI300,PhotoPes_std_lag5,0.000794,0.89,0.3733,889
70,0.011081,CSI300,TextPes_std_lag1,-0.001079,-1.249,0.2117,889
70,0.011081,CSI300,TextPes_std_lag2,-0.00047,-0.607,0.5438,889
70,0.011081,CSI300,TextPes_std_lag3,-0.001002,-1.144,0.2526,889
70,0.011081,CSI300,TextPes_std_lag4,0.000424,0.452,0.6514,889
70,0.011081,CSI300,TextPes_std_lag5,0.001382,1.402,0.1609,889
70,0.011081,SHCOMP,PhotoPes_std_lag1,0.000183,0.192,0.8474,889
70,0.011081,SHCOMP,PhotoPes_std_lag2,0.000622,0.895,0.371,889
70,0.011081,SHCOMP,PhotoPes_std_lag3,-0.001401,-1.418,0.1562,889
70,0.011081,SHCOMP,PhotoPes_std_lag4,-0.001122,-1.257,0.2088,889
70,0.011081,SHCOMP,PhotoPes_std_lag5,0.000613,0.725,0.4684,889
70,0.011081,SHCOMP,TextPes_std_lag1,-0.001169,-1.407,0.1595,889
70,0.011081,SHCOMP,TextPes_std_lag2,-0.000467,-0.628,0.53,889
70,0.011081,SHCOMP,TextPes_std_lag3,-0.001081,-1.299,0.1939,889
70,0.011081,SHCOMP,TextPes_std_lag4,0.000386,0.436,0.6625,889
70,0.011081,SHCOMP,TextPes_std_lag5,0.001404,1.448,0.1477,889
70,0.011081,SZCOMP,PhotoPes_std_lag1,0.001017,0.896,0.3703,889
70,0.011081,SZCOMP,PhotoPes_std_lag2,0.001155,1.274,0.2027,889
70,0.011081,SZCOMP,PhotoPes_std_lag3,-0.00199,-1.832,0.067,889
70,0.011081,SZCOMP,PhotoPes_std_lag4,-0.001536,-1.456,0.1454,889
70,0.011081,SZCOMP,PhotoPes_std_lag5,0.001338,1.329,0.1839,889
70,0.011081,SZCOMP,TextPes_std_lag1,-0.001542,-1.595,0.1108,889
70,0.011081,SZCOMP,TextPes_std_lag2,-0.000618,-0.686,0.4926,889
70,0.011081,SZCOMP,TextPes_std_lag3,-0.001485,-1.695,0.09,889
70,0.011081,SZCOMP,TextPes_std_lag4,0.000407,0.374,0.7081,889
70,0.011081,SZCOMP,TextPes_std_lag5,0.000953,0.875,0.3813,889
70,0.011081,ChiNext,PhotoPes_std_lag1,0.0013,0.863,0.3881,889
70,0.011081,ChiNext,PhotoPes_std_lag2,0.001592,1.394,0.1635,889
70,0.011081,ChiNext,PhotoPes_std_lag3,-0.003166,-2.599,0.0093,889
70,0.011081,ChiNext,PhotoPes_std_lag4,-0.001489,-1.254,0.2098,889
70,0.011081,ChiNext,PhotoPes_std_lag5,0.001995,1.611,0.1072,889
70,0.011081,ChiNext,TextPes_std_lag1,-0.001844,-1.617,0.1058,889
70,0.011081,ChiNext,TextPes_std_lag2,-0.001196,-1.123,0.2613,889
70,0.011081,ChiNext,TextPes_std_lag3,-0.001736,-1.74,0.0818,889
70,0.011081,ChiNext,TextPes_std_lag4,0.000619,0.475,0.6345,889
70,0.011081,ChiNext,TextPes_std_lag5,0.001033,0.822,0.4112,889
70,0.011081,CSI500,PhotoPes_std_lag1,0.000698,0.616,0.5378,889
70,0.011081,CSI500,PhotoPes_std_lag2,0.001057,1.165,0.244,889
70,0.011081,CSI500,PhotoPes_std_lag3,-0.002066,-1.814,0.0697,889
70,0.011081,CSI500,PhotoPes_std_lag4,-0.001355,-1.251,0.2111,889
70,0.011081,CSI500,PhotoPes_std_lag5,0.001258,1.189,0.2345,889
70,0.011081,CSI500,TextPes_std_lag1,-0.001511,-1.489,0.1366,889
70,0.011081,CSI500,TextPes_std_lag2,-0.000223,-0.246,0.8059,889
70,0.011081,CSI500,TextPes_std_lag3,-0.001486,-1.673,0.0944,889
70,0.011081,CSI500,TextPes_std_lag4,0.00031,0.289,0.7723,889
70,0.011081,CSI500,TextPes_std_lag5,0.000832,0.743,0.4574,889
75,0.012314,CSI300,PhotoPes_std_lag1,0.000153,0.13,0.8966,741
75,0.012314,CSI300,PhotoPes_std_lag2,0.000214,0.249,0.8035,741
75,0.012314,CSI300,PhotoPes_std_lag3,-0.001642,-1.444,0.1488,741
75,0.012314,CSI300,PhotoPes_std_lag4,-0.001175,-1.087,0.2772,741
75,0.012314,CSI300,PhotoPes_std_lag5,0.000739,0.717,0.4732,741
75,0.012314,CSI300,TextPes_std_lag1,-0.000957,-0.936,0.3495,741
75,0.012314,CSI300,TextPes_std_lag2,-0.000493,-0.558,0.577,741
75,0.012314,CSI300,TextPes_std_lag3,-0.001472,-1.475,0.1401,741
75,0.012314,CSI300,TextPes_std_lag4,0.000434,0.404,0.6862,741
75,0.012314,CSI300,TextPes_std_lag5,0.001655,1.446,0.1483,741
75,0.012314,SHCOMP,PhotoPes_std_lag1,2.8e-05,0.025,0.98,741
75,0.012314,SHCOMP,PhotoPes_std_lag2,0.000484,0.596,0.551,741
75,0.012314,SHCOMP,PhotoPes_std_lag3,-0.001353,-1.188,0.2348,741
75,0.012314,SHCOMP,PhotoPes_std_lag4,-0.001367,-1.269,0.2045,741
75,0.012314,SHCOMP,PhotoPes_std_lag5,0.000626,0.639,0.5228,741
75,0.012314,SHCOMP,TextPes_std_lag1,-0.001005,-1.02,0.3079,741
75,0.012314,SHCOMP,TextPes_std_lag2,-0.000482,-0.565,0.572,741
75,0.012314,SHCOMP,TextPes_std_lag3,-0.001497,-1.575,0.1154,741
75,0.012314,SHCOMP,TextPes_std_lag4,0.000358,0.353,0.7239,741
75,0.012314,SHCOMP,TextPes_std_lag5,0.001599,1.414,0.1572,741
75,0.012314,SZCOMP,PhotoPes_std_lag1,0.001245,0.934,0.3505,741
75,0.012314,SZCOMP,PhotoPes_std_lag2,0.000784,0.744,0.4568,741
75,0.012314,SZCOMP,PhotoPes_std_lag3,-0.002082,-1.732,0.0832,741
75,0.012314,SZCOMP,PhotoPes_std_lag4,-0.001738,-1.381,0.1674,741
75,0.012314,SZCOMP,PhotoPes_std_lag5,0.001178,1.032,0.3023,741
75,0.012314,SZCOMP,TextPes_std_lag1,-0.001067,-0.954,0.3402,741
75,0.012314,SZCOMP,TextPes_std_lag2,-0.000654,-0.624,0.5326,741
75,0.012314,SZCOMP,TextPes_std_lag3,-0.002172,-2.211,0.0271,741
75,0.012314,SZCOMP,TextPes_std_lag4,0.000142,0.114,0.9089,741
75,0.012314,SZCOMP,TextPes_std_lag5,0.000902,0.713,0.4757,741
75,0.012314,ChiNext,PhotoPes_std_lag1,0.001562,0.885,0.3763,741
75,0.012314,ChiNext,PhotoPes_std_lag2,0.001117,0.846,0.3975,741
75,0.012314,ChiNext,PhotoPes_std_lag3,-0.00329,-2.447,0.0144,741
75,0.012314,ChiNext,PhotoPes_std_lag4,-0.001789,-1.275,0.2022,741
75,0.012314,ChiNext,PhotoPes_std_lag5,0.001644,1.169,0.2423,741
75,0.012314,ChiNext,TextPes_std_lag1,-0.00132,-1.003,0.3161,741
75,0.012314,ChiNext,TextPes_std_lag2,-0.001191,-0.964,0.3349,741
75,0.012314,ChiNext,TextPes_std_lag3,-0.002565,-2.335,0.0195,741
75,0.012314,ChiNext,TextPes_std_lag4,0.000214,0.144,0.8853,741
75,0.012314,ChiNext,TextPes_std_lag5,0.000984,0.683,0.4949,741
75,0.012314,CSI500,PhotoPes_std_lag1,0.000837,0.635,0.5256,741
75,0.012314,CSI500,PhotoPes_std_lag2,0.000771,0.723,0.4698,741
75,0.012314,CSI500,PhotoPes_std_lag3,-0.00219,-1.71,0.0872,741
75,0.012314,CSI500,PhotoPes_std_lag4,-0.0015,-1.155,0.248,741
75,0.012314,CSI500,PhotoPes_std_lag5,0.001145,0.949,0.3424,741
